"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C21","3","22uF/10V(20%)","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C2","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C4","1","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9,C14,C19,C22","4","0.1uF/50V(10%)","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C15","1","0.1uF/50V(10%)(NC)","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C20","1","4.7uF/6.3V(10%)","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0603_1608Metric","~"
"D3","1","D_Schottky","","","","Diode_SMD:D_SOD-323","~"
"D4,D5,D6","3","D_TVS","","","","Diode_SMD:D_SOD-323","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.1mm","~"
"J1","1","USB_C_Plug_USB2.0","","","","Connector_USB:USB_C_Plug_Molex_105444","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2,J3","2","Conn_01x19_Male","","","","Connector_PinHeader_2.54mm:PinHeader_1x19_P2.54mm_Vertical","~"
"MOD1","1","ESP32-WROOM-32","","","","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf"
"Q1,Q2","2","MMSS8050-H-TP","","","","MMSS8050-H-TP:TRANS_MMSS8050-H-TP",""
"R1,R3","2","4,7K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R24","2","2K(5%)","","","","Resistor_SMD:R_0402_1005Metric","~"
"R4","1","4.7K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R11,R21,R22","3","10K(5%)","","","","Resistor_SMD:R_0402_1005Metric","~"
"R17,R18","2","0R(5%)","","","","Resistor_SMD:R_0402_1005Metric","~"
"R23","1","10K(5%)(NC)","","","","Resistor_SMD:R_0402_1005Metric","~"
"R25","1","22.1K(5%)","","","","Resistor_SMD:R_0402_1005Metric","~"
"R26","1","47.5K(5%)","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3S-1000","~"
"U1","1","CP2102N-A01-GQFN28","","","","CP2102N-A01-GQFN28:QFN50P500X500X80-29N",""
"U2","1","AMS1117","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U3","1","AHT20","","","","AHT20:PSON100P300X300X110-6N",""
"U4","1","BH1750FVI-TR","","","","BH1750FVI-TR:XDCR_BH1750FVI-TR",""
"U5","1","24LC1025-I/P","","","","PDIP8_300MC_MCH","24LC1025-I/P"
